Core #,L,H,1st full ring,Missing Distance To Pith (DTP),Width innermost 3 rings (WI3R),Mean WI3R,Estimated # rings to pith (RTP),"If last vis ring not arching, extra rings to subtract",Adj rings to pith,Adj rings to pith values,downward curvature
BF03T08,1.09,0.14,0.27,1.130803571,0.74,0.246666667,4.584338803,0,5,5,strong
BF04T01,4.56,0.14,0.18,18.63571429,0.8,0.266666667,69.88392857,0,70,70,somewhat
BF04T04b,2.79,0.15,0.22,6.56175,0.69,0.23,28.52934783,1,28,28,strong
BF04T06,1.16,0.13,0.08,1.358846154,0.17,0.056666667,23.97963801,1,23,23,weak
BF04T07,3.95,0.2,0.19,9.8515625,0.69,0.23,42.83288043,0,43,43,somewhat
BF05T01,2.61,0.15,0.15,5.75175,0.38,0.126666667,45.40855263,0,45,45,weak
BF05T02b,1.11,0.13,0.15,1.249711538,0.36,0.12,10.41426282,0,10,10,strong
BF05T04,2.25,0.11,0.34,5.807840909,0.83,0.276666667,20.99219606,0,21,21,somewhat
BF05T05,0.77,0.04,0.05,1.8728125,0.13,0.043333333,43.21875,1,42,42,weak
BF05T06,1.16,0.12,0.32,1.461666667,0.88,0.293333333,4.982954545,0,5,5,strong
BF05T07,3.22,0.23,0.23,5.75,0.71,0.236666667,24.29577465,1,23,23,somewhat
BF06T01,2.05,0.19,0.13,2.859802632,0.36,0.12,23.8316886,0,24,24,strong
BF06T02,1.11,0.11,0.11,1.455113636,0.19,0.063333333,22.97547847,0,23,23,strong
BF06T03,2.62,0.35,0.26,2.626571429,0.62,0.206666667,12.70921659,1,12,12,weak
BF06T05,1.05,0.08,0.12,1.76265625,0.21,0.07,25.18080357,1,24,24,strong
BF06T06,1.18,0.07,0.04,2.521428571,0.14,0.046666667,54.03061224,2,52,52,somewhat
BF07T01,2.99,0.1,0.13,11.225125,0.51,0.17,66.03014706,2,64,64,weak
BF07T02,2.54,0.15,0.13,5.451333333,0.49,0.163333333,33.3755102,0,33,33,weak
BF07T03,1.81,0.29,0.26,1.557112069,0.79,0.263333333,5.913083806,1,5,5,strong
BF08T02,1.44,0.23,0.29,1.241956522,0.64,0.213333333,5.821671196,0,6,6,strong
BF08T03,2.02,0.17,0.13,3.085294118,0.34,0.113333333,27.22318339,1,26,26,somewhat
BF09T01,1.49,0.09,0.05,3.128472222,0.16,0.053333333,58.65885417,1,58,58,weak
F01T01,0.87,0.16,0.14,0.671328125,0.44,0.146666667,4.577237216,0,5,5,strong
F01T02,5.63,0.25,0.19,15.97345,0.47,0.156666667,101.9581915,1,101,101,weak
F01T03,7.62,0.23,0.2,31.67173913,0.45,0.15,211.1449275,1,210,210,somewhat
F01T04,3.71,0.21,0.27,8.297916667,0.91,0.303333333,27.35576923,1,26,26,somewhat
F02T07,0.77,0.1,0.14,0.791125,0.57,0.19,4.163815789,1,3,3,strong
F02T08,3.36,0.25,0.42,5.7698,1.26,0.42,13.73761905,0,14,14,somewhat
F02T09,4,0.15,0.24,13.40833333,0.68,0.226666667,59.15441176,0,59,59,weak
F02T10,3.4,0.14,0.16,10.39142857,0.52,0.173333333,59.95054945,0,60,60,somewhat
F02T12,2.67,0.14,0.14,6.435089286,0.46,0.153333333,41.9679736,0,42,42,somewhat
F03T01,2.49,0.13,0.46,6.026634615,1.66,0.553333333,10.89150834,0,11,11,somewhat
F03T05,1.35,0.36,0.45,0.8128125,1.2,0.4,2.03203125,1,1,1,strong
F03T06,9.72,0.68,0.7,17.70735294,2.49,0.83,21.33416017,1,20,20,weak
F03T07,12.42,0.42,0.62,46.11964286,1.84,0.613333333,75.19506988,1,74,74,weak
F03T10,2.46,0.22,0.19,3.548409091,0.63,0.21,16.89718615,1,16,16,strong
F03T11,11.49,0.37,0.47,44.78638514,1.32,0.44,101.7872389,0,102,102,weak
F04T01b,7.8,0.32,0.27,23.925625,0.65,0.216666667,110.4259615,0,110,110,weak
F04T02,5.83,0.19,0.19,22.45611842,0.53,0.176666667,127.1101043,0,127,127,weak
F04T03,2.39,0.14,0.11,5.170089286,0.48,0.16,32.31305804,0,32,32,somewhat
F04T04,2.68,0.12,0.33,7.541666667,0.6,0.2,37.70833333,0,38,38,strong
F04T06,1.8,0.1,0.11,4.1,0.47,0.156666667,26.17021277,4,22,22,somewhat
F05T01,3.59,0.15,0.19,10.81508333,0.72,0.24,45.06284722,0,45,45,somewhat
F05T02,1.22,0.08,0.05,2.365625,0.16,0.053333333,44.35546875,1,43,43,somewhat
F05T03,1.5,0.13,0.12,2.228461538,0.37,0.123333333,18.06860707,0,18,18,strong
F05T08a,1.74,0.15,0.14,2.598,0.47,0.156666667,16.58297872,0,17,17,strong
F06T01c,4.79,0.12,0.21,23.96010417,0.83,0.276666667,86.60278614,1,86,86,somewhat
F06T02,4.22,0.35,0.37,6.535142857,0.69,0.23,28.4136646,0,28,28,somewhat
F06T09,1.8,0.16,0.32,2.61125,0.83,0.276666667,9.438253012,0,9,9,strong
F06T10c,5.97,0.27,0.36,16.63541667,1.17,0.39,42.65491453,0,43,43,somewhat
F06T11a,3.19,0.11,0.08,11.61875,0.3,0.1,116.1875,1,115,115,weak
F06T12,2.59,0.32,0.33,2.780351563,0.64,0.213333333,13.03289795,0,13,13,strong
F06T13,4.76,0.29,0.38,9.911206897,1.16,0.386666667,25.63243163,0,26,26,somewhat
F06T15b,2.54,0.18,0.26,4.570277778,1.19,0.396666667,11.52170868,0,12,12,somewhat
F071902b,11.23,0.73,0.47,21.95967466,0.97,0.323333333,67.91651956,1,67,67,weak
F07T02b,6.61,0.29,0.23,18.97780172,0.93,0.31,61.21871524,0,61,61,weak
F07T03b,2.28,0.16,0.15,4.14125,0.32,0.106666667,38.82421875,1,38,38,strong
F081901,15.06,0.71,0.7,40.28521127,1.55,0.516666667,77.97137665,1,77,77,weak
F081902,2.69,0.22,0.33,4.221420455,0.72,0.24,17.58925189,1,17,17,strong
F09T01,15.88,0.61,0.73,51.98008197,2.25,0.75,69.30677596,0,69,69,weak
F09T02,4.61,0.21,0.22,12.75505952,0.58,0.193333333,65.97444581,0,66,66,somewhat
