"","time","RMB.sada","LC.sada"
"1",1400,-0.0879999995231628,1.02400004863739
"2",1401,0.115000002086163,2.56800007820129
"3",1402,-0.540000021457672,0.953999996185303
"4",1403,-0.238999992609024,0.00499999988824129
"5",1404,1.59899997711182,1.43499994277954
"6",1405,1.74300003051758,0.210999995470047
"7",1406,1.43599998950958,-0.603999972343445
"8",1407,1.26699995994568,-0.423000007867813
"9",1408,1.29200005531311,-0.234999999403954
"10",1409,2.06500005722046,0.97299998998642
"11",1410,-0.819000005722046,-1.67799997329712
"12",1411,-1.71800005435944,-2.33500003814697
"13",1412,1.44400000572205,-0.48199999332428
"14",1413,1.13699996471405,-0.321000009775162
"15",1414,-0.207000002264977,0.0189999993890524
"16",1415,-0.745999991893768,0.157000005245209
"17",1416,-1.44599997997284,-0.492000013589859
"18",1417,0.061999998986721,0.827000021934509
"19",1418,-0.061999998986721,0.528999984264374
"20",1419,-0.912999987602234,-0.950999975204468
"21",1420,0.827000021934509,0.14300000667572
"22",1421,1.66999995708466,0.818000018596649
"23",1422,1.73300004005432,1.49899995326996
"24",1423,-0.0890000015497208,-0.675000011920929
"25",1424,0.358000010251999,-0.0890000015497208
"26",1425,0.957000017166138,0.878000020980835
"27",1426,-0.456000000238419,0.0729999989271164
"28",1427,0.0790000036358833,-0.231000006198883
"29",1428,1.52100002765656,0.513999998569489
"30",1429,-0.981000006198883,-1.62199997901917
"31",1430,-0.358999997377396,-2.72199988365173
"32",1431,1.94599997997284,0.878000020980835
"33",1432,1.07700002193451,0.273000001907349
"34",1433,-0.806999981403351,-3.26999998092651
"35",1434,1.03100001811981,-0.596000015735626
"36",1435,0.675999999046326,-0.512000024318695
"37",1436,0.38400000333786,-0.257999986410141
"38",1437,0.25,0.344999998807907
"39",1438,-0.48199999332428,1.4559999704361
"40",1439,0.270000010728836,0.870000004768372
"41",1440,-0.632000029087067,-3.48499989509583
"42",1441,2.59599995613098,-1.47599995136261
"43",1442,3.00099992752075,0.0299999993294477
"44",1443,1.33899998664856,-0.0610000006854534
"45",1444,1.05900001525879,0.0920000001788139
"46",1445,0.589999973773956,0.00700000021606684
"47",1446,-0.894999980926514,-2.54900002479553
"48",1447,2.1470000743866,-0.133000001311302
"49",1448,1.99300003051758,-1.03799998760223
"50",1449,0.639999985694885,-2.32800006866455
"51",1450,3.24300003051758,-0.0439999997615814
"52",1451,1.75399994850159,-0.688000023365021
"53",1452,2.03900003433228,-0.739000022411346
"54",1453,1.35800004005432,-1.37300002574921
"55",1454,-0.0469999983906746,-2.56399989128113
"56",1455,-0.625999987125397,-4.41699981689453
"57",1456,1.05299997329712,-2.05100011825562
"58",1457,1.53900003433228,0.409999996423721
"59",1458,1.31400001049042,0.874000012874603
"60",1459,2.26200008392334,2.44000005722046
"61",1460,-1.25600004196167,-1.26600003242493
"62",1461,0.167999997735023,-2.32699990272522
"63",1462,-0.927999973297119,-3.30100011825562
"64",1463,1.89300000667572,-0.19200000166893
"65",1464,2.24200010299683,-0.388000011444092
"66",1465,0.550999999046326,-1.29900002479553
"67",1466,0.321999996900558,-1.03299999237061
"68",1467,-2.09200000762939,-5.11899995803833
"69",1468,1.34099996089935,-5.00699996948242
"70",1469,5.74499988555908,-0.773999989032745
"71",1470,5.19099998474121,1.63199996948242
"72",1471,4.09100008010864,1.61500000953674
"73",1472,3.37299990653992,1.55200004577637
"74",1473,2.31200003623962,1.81099998950958
"75",1474,0.222000002861023,0.0120000001043081
"76",1475,1.21800005435944,-0.257999986410141
"77",1476,0.188999995589256,-1.17700004577637
"78",1477,-0.680000007152557,-1.14499998092651
"79",1478,-1.13999998569489,-2.23300004005432
"80",1479,-3.33899998664856,-6.43400001525879
"81",1480,0.379000008106232,-4.6100001335144
"82",1481,1.73300004005432,-2.76699995994568
"83",1482,-0.566999971866608,-3.91899991035461
"84",1483,0.820999979972839,-2.25500011444092
"85",1484,1.90699994564056,-0.291999995708466
"86",1485,1.4210000038147,0.063000001013279
"87",1486,1.99100005626678,0.982999980449677
"88",1487,2.0220000743866,1.12100005149841
"89",1488,1.52199995517731,1.20500004291534
"90",1489,0.24600000679493,0.705999970436096
"91",1490,-0.0659999996423721,0.832000017166138
"92",1491,-0.252000004053116,1.50100004673004
"93",1492,-0.836000025272369,0.822000026702881
"94",1493,-4.7649998664856,-4.90500020980835
"95",1494,0.135000005364418,-1.10199999809265
"96",1495,1.35500001907349,1.15900003910065
"97",1496,-0.528999984264374,-1.28900003433228
"98",1497,0.150999993085861,0.245000004768372
"99",1498,0.35699999332428,1.41600000858307
"100",1499,-1.57000005245209,-1.24399995803833
"101",1500,-0.0120000001043081,-0.561999976634979
"102",1501,-0.296000003814697,-0.896000027656555
"103",1502,-0.0520000010728836,-1.01400005817413
"104",1503,1.27400004863739,-0.666999995708466
"105",1504,2.51799988746643,0.751999974250793
"106",1505,1.71899998188019,1.20099997520447
"107",1506,0.204999998211861,-0.404000014066696
"108",1507,-0.314000010490417,-1.15400004386902
"109",1508,2.1710000038147,0.219999998807907
"110",1509,-0.574000000953674,-1.22200000286102
"111",1510,-2.04399991035461,-0.943000018596649
"112",1511,-1.03900003433228,1.4559999704361
"113",1512,-0.967999994754791,0.442999988794327
"114",1513,-0.916000008583069,-0.809000015258789
"115",1514,1.5789999961853,0.29899999499321
"116",1515,1.53100001811981,-0.0160000007599592
"117",1516,1.24699997901917,-2.21099996566772
"118",1517,2.10899996757507,-2.50999999046326
"119",1518,2.24699997901917,0.00800000037997961
"120",1519,-1.04200005531311,-4.19999980926514
